# memory log of emacs
# TIME_(ms) size_(KiB) Rss_(KiB) share_(KiB)
131500 676224 85952 30248
132000 676224 85952 30248
132500 676224 85952 30248
133000 676224 85952 30248
133500 676224 85952 30248
134000 676224 85952 30248
134500 676224 85952 30248
135000 676224 85952 30248
135500 676224 85952 30248
136000 676224 85960 30248
136500 676224 85960 30248
137000 676224 85960 30248
137500 676224 85960 30248
138000 676224 85960 30248
138500 676224 85960 30248
139000 676224 85960 30248
139500 676224 85960 30248
140000 676224 85960 30248
140500 676224 85960 30248
141000 676224 85960 30248
141500 676224 85960 30248
142000 676224 85960 30248
142500 676224 85960 30248
143000 676224 85960 30248
143500 676224 85960 30248
144000 676224 85960 30248
144500 676224 85960 30248
145000 676224 85960 30248
145500 676224 85960 30248
146000 676224 85960 30248
146500 676224 85960 30248
147000 676224 85960 30248
147500 676224 85960 30248
148000 676224 85960 30248
148500 676224 85960 30248
149000 676224 85960 30248
149500 676224 85960 30248
150000 676224 85960 30248
150500 676224 85960 30248
151000 676224 85960 30248
151500 676224 85960 30248
152000 676224 85960 30248
152500 676224 85960 30248
153000 676224 85960 30248
153500 676224 85960 30248
154000 676224 85960 30248
154500 676224 85960 30248
155000 676224 85960 30248
155500 676224 85960 30248
156000 676224 85960 30248
156500 676224 85960 30248
157000 676224 85960 30248
157500 676224 85960 30248
158000 676224 85960 30248
158500 676224 85960 30248
159000 676224 85960 30248
159500 676356 85980 30248
160000 676356 85980 30248
160500 676356 85980 30248
161000 676356 85980 30248
161500 676356 85980 30248
162000 676356 85980 30248
162500 676356 85980 30248
163000 676356 85980 30248
163500 676356 85980 30248
164000 676356 85980 30248
164500 676356 85980 30248
165000 676356 85980 30248
165500 676356 85980 30248
166000 676356 85980 30248
166500 676356 85980 30248
167000 676356 85980 30248
167500 676356 85980 30248
168000 676356 85980 30248
168500 676356 85980 30248
169000 676356 85980 30248
169500 676356 85980 30248
170000 676356 85980 30248
170500 676356 85980 30248
171000 676356 85980 30248
171500 676356 85980 30248
172000 676356 85980 30248
172500 676356 85980 30248
173000 676356 85980 30248
173500 676356 85980 30248
174000 676356 85980 30248
174500 676356 85980 30248
175000 676356 85980 30248
175500 676356 85980 30248
176000 676356 85980 30248
176500 676356 85980 30248
177000 676356 85980 30248
177500 676356 85980 30248
178000 676356 85980 30248
178500 676356 85980 30248
179000 676356 85980 30248
179500 676356 85980 30248
