# memory log of firefox
# TIME_(ms) size_(KiB) Rss_(KiB) share_(KiB)
121500 1596076 455840 85244
122000 1596076 455840 85244
122500 1596076 455840 85244
123000 1596204 455840 85244
123500 1596204 455840 85244
124000 1596204 455840 85244
124500 1596204 455840 85244
125000 1596204 455840 85244
125500 1596204 455840 85244
126000 1596204 455840 85244
126500 1596204 455840 85244
127000 1596204 455896 85300
127500 1596204 456164 85304
128000 1596204 456104 85244
128500 1596204 456104 85244
129000 1596204 456104 85244
129500 1596204 456104 85244
130000 1596204 456104 85244
130500 1596204 456104 85244
131000 1596204 456104 85244
131500 1596204 456104 85244
132000 1596204 456104 85244
132500 1596204 456104 85244
133000 1596204 456104 85244
133500 1596204 456104 85244
134000 1596204 456104 85244
134500 1596204 456104 85244
135000 1596204 456220 85360
135500 1596204 456188 85328
136000 1596396 457004 85356
136500 1596396 456308 85360
137000 1596396 457676 85412
137500 1596844 458788 85328
138000 1596844 458760 85300
138500 1596908 458964 85244
139000 1597100 458816 85244
139500 1597292 460456 85300
140000 1597356 460664 85244
140500 1597420 461200 85244
141000 1597676 465752 85244
141500 1597804 466676 85272
142000 1597932 468328 85244
142500 1597996 474440 85272
143000 1598124 479296 85300
143500 1598444 484124 85328
144000 1598800 487536 85244
144500 1598864 504168 85244
145000 1599056 495160 85272
145500 1599196 499520 85260
146000 1599260 506556 85244
146500 1599324 506792 85244
147000 1599452 508904 85304
147500 1599580 511720 85384
148000 1599644 519160 85336
148500 1599644 519068 85244
149000 1599644 519388 85300
149500 1599708 519596 85244
150000 1599708 520348 85300
150500 1599708 520292 85244
151000 1599708 520292 85244
151500 1599708 520556 85244
152000 1599708 520624 85304
152500 1599708 520564 85244
153000 1599708 520564 85244
153500 1599708 520564 85244
154000 1599708 520652 85332
154500 1599708 520628 85308
155000 1599644 520800 85468
155500 1599644 520576 85244
156000 1599708 522284 85280
156500 1599708 523304 85244
157000 1599708 523632 85304
157500 1599708 524916 85272
158000 1599708 525152 85244
158500 1599708 525224 85308
159000 1599772 524312 85268
159500 1599772 525376 85280
160000 1599836 529088 85244
160500 1599900 531992 85320
161000 1599900 531916 85244
161500 1599900 532180 85244
162000 1599900 532180 85244
162500 1599900 532180 85244
163000 1599900 532180 85244
163500 1599900 532184 85244
164000 1599900 534844 85304
164500 1599964 536872 85244
165000 1599964 534148 85288
165500 1600092 536836 85336
166000 1600092 543128 85292
166500 1600156 504336 85244
167000 1600156 501700 85304
167500 1600156 501900 85244
168000 1600156 501900 85244
168500 1600156 500928 85304
169000 1600156 501392 85244
169500 1600156 501716 85304
170000 1600160 501356 85368
170500 1600156 500316 85300
171000 1600156 500336 85320
171500 1600284 503256 85320
172000 1600284 507980 85316
172500 1600348 504848 85300
173000 1600540 503700 85344
173500 1597932 502656 85364
174000 1597996 503064 85244
174500 1597996 503064 85244
175000 1598252 506152 85244
175500 1598252 504484 85244
176000 1598380 504484 85244
176500 1598380 505536 85244
177000 1598572 506328 85244
177500 1598636 488124 85244
178000 1598764 488728 85320
178500 1598764 488604 85248
179000 1598764 488600 85244
179500 1598892 487884 85340
